"sem_cos","trat","rep","racimo_kg","manos","dedos"
"1","con plastico","1","14.15","7","40"
"1","con plastico","2","11.85","7","40"
"1","con plastico","3","11.31","7","47"
"1","con plastico","4","12.16","7","40"
"1","con plastico","5","14.4","8","53"
"2","con plastico","1","12.6","7","34"
"2","con plastico","2","12.5","7","41"
"2","con plastico","3","13.65","7","44"
"2","con plastico","4","16.3","8","47"
"2","sin plastico","5","15.1","8","49"
"2","sin plastico","6","13.7","7","43"
"2","sin plastico","7","14.5","7","45"
"2","sin plastico","8","11.25","7","41"
"3","sin plastico","1","18.5","9","49"
"3","sin plastico","2","12.5","7","39"
"3","con plastico","3","15.5","7","39"
"3","con plastico","4","15.75","8","41"
"3","con plastico","5","14","8","48"
"3","con plastico","6","13.5","7","41"
"4","con plastico","1","16","7","40"
"4","con plastico","2","14.5","7","42"
"4","con plastico","3","14","7","38"
"4","con plastico","4","16.5","8","48"
"4","con plastico","5","14","7","40"
"4","con plastico","6","15.5","7","47"
"4","sin plastico","7","15","8","52"
"4","sin plastico","8","15.5","8","42"
"4","sin plastico","9","19.5","8","47"
"4","sin plastico","10","16.5","7","41"
"4","sin plastico","11","20","9","57"
"4","sin plastico","12","16","8","49"
"5","sin plastico","1","15","8","48"
"5","sin plastico","2","16","8","48"
"5","sin plastico","3","15","6","41"
"5","sin plastico","4","14","7","47"
"5","sin plastico","5","12.5","7","42"
"5","sin plastico","6","13","6","42"
"5","con plastico","7","17.5","7","99"
"5","con plastico","8","16","7","44"
"5","con plastico","9","14","7","45"
"5","con plastico","10","15.5","7","45"
"5","con plastico","11","14","7","43"
"5","con plastico","12","19","7","45"
"6","con plastico","1","13.5","8","46"
"6","con plastico","2","11.5","7","37"
"6","con plastico","3","12.5","8","48"
"6","con plastico","4","11.5","8","50"
"6","con plastico","5","13.5","8","42"
"6","con plastico","6","13","7","46"
"6","sin plastico","7","13.5","8","50"
"6","sin plastico","8","12.5","8","41"
"6","sin plastico","9","13","8","48"
"6","sin plastico","10","12","8","43"
"6","sin plastico","11","17","8","47"
"6","sin plastico","12","16.5","7","51"
"7","sin plastico","1","12.5","7","41"
"7","sin plastico","2","15","7","34"
"7","sin plastico","3","12","6","30"
"7","sin plastico","4","13.5","7","40"
"7","con plastico","1","14.5","7","40"
"7","con plastico","2","9","7","34"
"7","con plastico","3","12","7","39"
"7","con plastico","4","10","7","35"
